;pais;Imunizados;media_vacinacao;vacina_utilizada
38;Portugal;14025295.0;58220.25316455696;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
39;Israel;12708044.0;51246.844897959185;['Moderna, Pfizer/BioNTech']
40;Cuba;12350386.0;131786.7875;['Abdala, Soberana02']
41;Uzbekistan;12103334.0;79681.25925925926;['Oxford/AstraZeneca, RBD-Dimer, Sputnik V']
42;Sweden;11768102.0;48983.30508474576;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
43;Kazakhstan;11285628.0;54523.21287128713;['QazVac, Sinopharm/HayatVax, Sputnik V']
44;Czechia;11201349.0;46838.624472573836;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
45;Greece;11153817.0;46927.86440677966;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
46;Dominican Republic;10825861.0;57643.73655913978;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac']
47;Hungary;10555046.0;47269.14349775785;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
48;South Africa;10431124.0;52991.8972972973;['Johnson&Johnson, Pfizer/BioNTech']
49;Austria;10302337.0;43371.82203389831;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
50;Taiwan;10057641.0;65360.28289473684;['Moderna, Oxford/AstraZeneca']
51;Romania;9654182.0;40758.516949152545;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
52;Switzerland;9357531.0;38726.24166666667;['Moderna, Pfizer/BioNTech']
53;Nepal;8770664.0;41023.454106280195;['Oxford/AstraZeneca, Sinopharm/Beijing']
54;Singapore;8709548.0;39079.40271493213;['Moderna, Pfizer/BioNTech, Sinovac']
55;Denmark;8314404.0;33327.23577235772;['Johnson&Johnson, Moderna, Pfizer/BioNTech']
56;Ukraine;8165319.0;43989.32584269663;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
57;Scotland;7617263.0;29697.149019607845;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
58;Hong Kong;7003789.0;37909.794444444444;['Pfizer/BioNTech, Sinovac']
59;Ireland;6574056.0;27834.431034482757;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
60;Egypt;6477535.0;29974.058823529413;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
61;Finland;6471135.0;27122.96566523605;['Moderna, Oxford/AstraZeneca, Pfizer/BioNTech']
62;Norway;6299964.0;23399.273076923077;['Moderna, Pfizer/BioNTech']
63;Azerbaijan;6110185.0;27514.939814814814;['Oxford/AstraZeneca, Sinovac, Sputnik V']
64;Jordan;6043931.0;26888.280542986424;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
65;Serbia;5670011.0;25294.497757847534;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
66;El Salvador;5602223.0;29112.010869565216;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
67;Bolivia;5319711.0;25199.06829268293;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V']
68;Uruguay;5286154.0;29667.14285714286;['Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac']
69;Tunisia;4891225.0;28759.770186335405;['Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V']
70;Venezuela;4678086.0;25534.309392265193;['Sinopharm/Beijing, Sputnik V']
